title,title_pos,latitude,longitude,size,inside,fips
Columbus,R,32.4922,-84.94,S,TRUE,13
Charleston,T,32.7765656,-79.931,S,FALSE,13
Charlotte,T,35.231,-80.846,S,FALSE,13
Honolulu,L,21.35,-157.93,S,TRUE,15
Boise,L,43.606,-116.226,S,TRUE,16
Coeur d'Alene,L,47.6928,-116.78,S,TRUE,16
Idaho Falls,R,43.4927,-112.0408,S,TRUE,16
Pocatello,R,42.8713032,-112.446,S,TRUE,16
Twin Falls,L,42.5833,-114.467,S,TRUE,16
Moline,L,41.5067003,-90.515,S,TRUE,17
Peoria,R,40.6936488,-89.589,S,TRUE,17
Rockford,L,42.271131,-89.094,S,TRUE,17
Springfield,B,39.781,-89.644,S,TRUE,17
Wheaton,L,41.8675195,-88.143,S,TRUE,17
Chicago,R,41.9,-87.65,L,TRUE,17
St. Louis,L,38.638178,-90.209,S,FALSE,17
Indianapolis,R,39.767,-86.156,L,FALSE,17
Madison,T,43.073045,-89.401,S,FALSE,17
Bloomington,L,39.172,-86.524,S,TRUE,18
Evansville,T,37.977,-87.544,S,TRUE,18
Fort Wayne,L,41.126073,-85.12,S,TRUE,18
Gary,B,41.5985,-87.337,S,TRUE,18
Indianapolis,T,39.767,-86.156,L,TRUE,18
South Bend,R,41.695,-86.251,S,TRUE,18
Chicago,L,41.9,-87.65,L,FALSE,18
Cincinnati,R,39.160657,-84.454,S,FALSE,18
Louisville,R,38.23,-85.67,S,FALSE,18
Detroit,L,42.42,-83.02,L,FALSE,18
Cedar Rapids,T,41.977879,-91.666,S,TRUE,19
Davenport,B,41.533643,-90.578,S,TRUE,19
Des Moines,B,41.576,-93.617,L,TRUE,19
Dubuque,L,42.500558,-90.665,S,TRUE,19
Iowa City,L,41.661129,-91.530167,S,TRUE,19
Sioux City,R,42.4949942,-96.4,S,TRUE,19
Ames,L,42.034534,-93.620369,S,TRUE,19
Dodge City,L,37.7597,-100.018,S,TRUE,20
Manhattan,L,39.15,-96.67,S,TRUE,20
Topeka,T,39.07,-95.62,S,TRUE,20
Lawrence,B,38.97,-95.23,S,TRUE,20
Denver,R,39.7375,-104.984,S,FALSE,20
Kansas City,R,39.0997,-94.578,S,FALSE,20
Bowling Green,R,36.972,-86.446,S,TRUE,21
Covington,B,39.065,-84.51,S,TRUE,21
Lexington,B,38.0297,-84.4947,S,TRUE,21
Louisville,T,38.25656,-85.752,S,TRUE,21
Owensboro,L,37.766,-87.107,S,TRUE,21
Paducah,L,37.0722,-88.628,S,TRUE,21
Frankfort,R,38.193,-84.873,S,TRUE,21
Nashville,L,36.171,-86.784,S,FALSE,21
Cincinnati,T,39.160657,-84.454,S,FALSE,21
Alexandria,L,31.3,-92.5,S,TRUE,22
Baton Rouge,T,30.448,-91.126,S,TRUE,22
Lafayette,L,30.2167,-92.033,S,TRUE,22
Lake Charles,L,30.2,-93.2,S,TRUE,22
New Orleans,L,29.96,-90.09,S,TRUE,22
Shreveport,T,32.52,-93.75,S,TRUE,22
Monroe,B,32.5,-92.1,S,TRUE,22
Houston,L,29.97,-95.35,L,FALSE,22
Mobile,L,30.6943566,-88.043,S,FALSE,22
Augusta,T,44.3106,-69.78,S,TRUE,23
Bangor,T,44.8036,-68.77,S,TRUE,23
Lewiston,L,44.0975,-70.193,S,TRUE,23
Portland,L,43.6667,-70.267,S,TRUE,23
Boston,T,42.37,-71.03,L,FALSE,23
Annapolis,T,38.9795,-76.52,S,TRUE,24
Baltimore,T,39.28606,-76.614,L,TRUE,24
Hagerstown,L,39.6428,-77.72,S,TRUE,24
Salisbury,L,38.3658,-75.593,S,TRUE,24
Philadelphia,L,39.9524,-75.164,L,FALSE,24
Richmond,T,37.5393,-77.442,S,FALSE,24
Washington,L,38.890159,-77.035,L,FALSE,24
Boston,R,42.37,-71.03,L,TRUE,25
Lawrence,T,42.7069,-71.164,S,TRUE,25
Lowell,L,42.6334247,-71.316,S,TRUE,25
New Bedford,T,41.6361,-70.935,S,TRUE,25
Springfield,L,42.101025,-72.589,S,TRUE,25
Worcester,L,42.2626,-71.798,S,TRUE,25
New Haven,T,41.3,-72.9,S,FALSE,25
Bay City,T,43.595,-83.889,S,TRUE,26
Detroit,B,42.42,-83.02,L,TRUE,26
Grand Rapids,T,42.9656,-85.671,S,TRUE,26
Kalamazoo,L,42.2917069,-85.587,S,TRUE,26
Lansing,R,42.709,-84.553,S,TRUE,26
Marquette,L,46.5464,-87.407,S,TRUE,26
Milwaukee,L,43.037992,-87.904,L,FALSE,26
Cleveland,R,41.499114,-81.685,S,FALSE,26
Duluth,L,46.8,-92.1,S,TRUE,27
Minneapolis,L,44.97836,-93.267,S,TRUE,27
Rochester,L,44.02163,-92.47,S,TRUE,27
St. Cloud,T,45.55,-94.167,S,TRUE,27
Saint Paul,R,44.9442,-93.094,S,TRUE,27
Green Bay,L,44.517941,-88.015,S,FALSE,27
Biloxi,T,30.39611,-88.886,S,TRUE,28
Hattiesburg,L,31.326636,-89.288,S,TRUE,28
Jackson,B,32.312176,-90.178,S,TRUE,28
Tupelo,B,34.257471,-88.703,S,TRUE,28
Meridian,T,32.364132,-88.704,S,TRUE,28
Oxford,T,34.35997,-89.526,S,TRUE,28
Memphis,L,35.35,-89.87,L,FALSE,28
New Orleans,L,29.96,-90.09,S,FALSE,28
Mobile,R,30.6943566,-88.043,S,FALSE,28
Columbia,L,38.93,-92.33,S,TRUE,29
Jefferson City,L,38.571,-92.19,S,TRUE,29
Joplin,T,37.084227,-94.513,S,TRUE,29
Kansas City,T,39.0997,-94.578,S,TRUE,29
Springfield,R,37.2089572,-93.292,S,TRUE,29
St. Louis,T,38.638178,-90.209,S,TRUE,29
Des Moines,L,41.576,-93.617,L,FALSE,29
Tulsa,L,36.2,-95.9,S,FALSE,29
Chicago,L,41.9,-87.65,L,FALSE,29
Billings,T,45.7833,-108.5007,S,TRUE,30
Butte,B,46.0038,-112.5348,S,TRUE,30
Flathead,B,48.4242,-114.1532,S,TRUE,30
Fort Belknap,L,48.4825,-108.7654,S,TRUE,30
Great Falls,R,47.5053,-111.3008,S,TRUE,30
Helena,R,46.5891,-112.091,S,TRUE,30
Missoula,T,46.8721,-113.994,S,TRUE,30
Plentywood,L,48.772,-104.55,S,TRUE,30
Idaho Falls,L,43.4927,-112.0408,S,FALSE,30
Chicago,L,41.9,-87.65,L,FALSE,30
Bismarck,T,46.8083,-100.7837,S,FALSE,30
Rapid City,L,44.0805,-103.231,S,FALSE,30
Casper,T,42.8501,-106.3252,S,FALSE,30
Grand Island,L,40.9,-98.3,S,TRUE,31
Lincoln,B,40.85,-96.75,S,TRUE,31
Omaha,L,41.3,-95.9,S,TRUE,31
Scottsbluff,R,41.8672,-103.661,S,TRUE,31
Kansas City,L,39.12,-94.6,S,FALSE,31
Denver,L,39.7375,-104.984,S,FALSE,31
Sioux Falls,L,43.545,-96.729,S,FALSE,31
Carson City,B,39.148,-119.743,S,TRUE,32
Ely,T,39.2474393,-114.889,S,TRUE,32
Las Vegas,T,36.1699,-115.1398,S,TRUE,32
Reno,T,39.5296,-119.8138,S,TRUE,32
San Jose,B,37.3382,-121.8863,L,FALSE,32
Salt Lake City,T,40.777,-111.929,S,FALSE,32
Portland,L,45.523,-122.669,S,FALSE,32
Berlin,R,44.468,-71.185,S,TRUE,33
Concord,T,43.207,-71.537,S,TRUE,33
Conway,R,43.979,-71.12,S,TRUE,33
Manchester,L,42.9912,-71.464,S,TRUE,33
Nashua,R,42.7581,-71.464,S,TRUE,33
Portsmouth,R,43.0705,-70.772,S,TRUE,33
Hanover,L,43.7022,-72.289,S,TRUE,33
Portland,R,43.6667,-70.267,S,FALSE,33
Boston,B,42.37,-71.03,L,FALSE,33
Atlantic City,L,39.3773,-74.451,S,TRUE,34
Newark,L,40.7242,-74.173,S,TRUE,34
Camden,R,39.9368,-75.107,S,TRUE,34
Jersey City,R,40.714,-74.071,S,TRUE,34
Trenton,T,40.223,-74.764,S,TRUE,34
Philadelphia,L,39.9524,-75.164,L,FALSE,34
Washington,T,38.890159,-77.035,S,FALSE,34
Albuquerque,B,35.05,-106.6,S,TRUE,35
Las Cruces,T,32.3144,-106.779,S,TRUE,35
Santa Fe,L,35.678,-105.954,S,TRUE,35
Phoenix,B,33.448,-112.074,L,FALSE,35
Albany,L,42.665,-73.799,L,TRUE,36
Binghamton,L,42.1022,-75.912,S,TRUE,36
Buffalo,L,42.93,-78.73,S,TRUE,36
New York,T,40.77,-73.98,L,TRUE,36
Rochester,T,43.12,-77.67,S,TRUE,36
Syracuse,R,43.0469,-76.144,S,TRUE,36
Utica,R,43.094722,-75.275833,S,TRUE,3622
Rome,L,43.219444,-75.463333,S,TRUE,3622
Asheville,L,35.58,-82.556,S,TRUE,37
Raleigh,R,35.7797,-78.643,S,TRUE,37
Wilmington,L,34.2233,-77.912,S,TRUE,37
Winston-Salem,L,36.0948,-80.243,S,TRUE,37
Charlotte,R,35.231,-80.846,S,TRUE,37
Durham,T,35.977,-78.907,S,TRUE,37
Fayetteville,R,35.054,-78.885,S,TRUE,37
Richmond,L,37.5393,-77.442,S,FALSE,37
Columbia,L,34.039,-80.886,S,FALSE,37
Bismarck,T,46.8083,-100.7837,S,TRUE,38
Fargo,L,46.8771863,-96.79,S,TRUE,38
Grand Forks,L,47.9252568,-97.033,S,TRUE,38
Minot,L,48.2325095,-101.296,S,TRUE,38
Cleveland,T,41.499114,-81.685,S,TRUE,39
Akron,L,41.084846,-81.516,S,TRUE,39
Columbus,L,39.962218,-83.001,L,TRUE,39
Toledo,B,41.65292,-83.578,S,TRUE,39
Cincinnati,R,39.160657,-84.454,S,TRUE,39
Youngstown,R,41.096258,-80.649,S,TRUE,39
Detroit,R,42.42,-83.02,L,FALSE,39
Indianapolis,B,39.77,-86.16,L,FALSE,39
Pittsburgh,R,40.4423,-80.01,S,FALSE,39
Lexington,T,38.0297,-84.4947,S,FALSE,39
Lawton,L,34.6086854,-98.39,S,TRUE,40
Oklahoma City,L,35.467,-97.55,S,TRUE,40
Tulsa,L,36.2,-95.9,S,TRUE,40
Dallas,T,32.780573,-96.797,L,FALSE,40
Kansas City,B,39.0997,-94.578,S,FALSE,40
Eugene,B,44.0446,-123.081,S,TRUE,41
Medford,R,42.32789,-122.869,S,TRUE,41
Pendleton,B,45.671,-118.812,S,TRUE,41
Portland,L,45.523,-122.669,S,TRUE,41
Salem,R,44.924,-123.022,S,TRUE,41
Gresham,R,45.498,-122.431,S,TRUE,41
Boise,B,43.606,-116.226,S,FALSE,41
Franklin,B,41.3978,-79.8314,S,TRUE,42
Erie,B,42.12806,-80.085,S,TRUE,42
Allentown,L,40.607787,-75.491,S,TRUE,42
Harrisburg,T,40.276,-76.884,S,TRUE,42
Philadelphia,L,39.9524,-75.164,L,TRUE,42
Reading,R,40.335354,-75.928,S,TRUE,42
Scranton,L,41.409233,-75.663,S,TRUE,42
Pittsburgh,R,40.4423,-80.01,L,TRUE,42
New York,L,40.77,-73.98,L,FALSE,42
Washington,L,38.890159,-77.035,S,FALSE,42
Youngstown,L,41.096258,-80.649,S,FALSE,42
Baltimore,L,39.28606,-76.614,L,FALSE,42
Buffalo,R,42.93,-78.73,S,FALSE,42
Cleveland,L,41.499114,-81.685,S,FALSE,42
Newport,L,41.488,-71.313,S,TRUE,44
Providence,L,41.8265,-71.416,S,TRUE,44
Albany,L,42.665,-73.799,L,FALSE,44
Boston,L,42.37,-71.03,S,FALSE,44
Concord,L,43.207,-71.537,S,FALSE,44
Manchester,L,42.9912,-71.464,S,FALSE,44
New York,L,40.77,-73.98,L,FALSE,44
Charleston,R,32.7765656,-79.931,S,TRUE,45
Columbia,T,34.039,-80.886,S,TRUE,45
Greenville,L,34.8526176,-82.394,S,TRUE,45
Myrtle Beach,B,33.6890603,-78.887,S,TRUE,45
Rock Hill,R,34.924433,-81.025407,S,TRUE,45
Charlotte,R,35.231,-80.846,S,FALSE,45
Augusta,L,33.5,-82,S,FALSE,45
Cheyenne River,L,45.042478,-101.151,S,TRUE,46
Crow Creek,R,44.127028,-99.141,S,TRUE,46
Lake Traverse,L,45.759859,-97.053,S,TRUE,46
Lower Brule,L,44.245199,-99.998,S,TRUE,46
Rosebud,T,43.261206,-101.008,S,TRUE,46
Standing Rock,B,45.882361,-101.085,S,TRUE,46
Sturgis,R,44.4042,-103.518,S,TRUE,46
Yankton,L,43.173135,-99.097,S,TRUE,46
Pierre,T,44.372,-100.322,S,TRUE,46
Sioux Falls,L,43.545,-96.729,S,TRUE,46
Rapid City,B,44.0805,-103.231,S,TRUE,46
Chattanooga,T,35,-85.3,S,TRUE,47
Knoxville,L,36,-83.9,S,TRUE,47
Memphis,R,35.35,-89.87,L,TRUE,47
Nashville,L,36.171,-86.784,L,TRUE,47
Atlanta,R,33.68,-84.42,S,FALSE,47
Lexington,B,38.0297,-84.4947,S,FALSE,47
Austin,T,30.269569,-97.745,L,TRUE,48
El Paso,R,31.763211,-106.491,S,TRUE,48
Houston,B,29.758288,-95.169,L,TRUE,48
Laredo,L,27.514122,-99.504,S,TRUE,48
San Antonio,L,29.42504,-98.494,L,TRUE,48
Corpus Christi,R,27.802799,-97.394,S,TRUE,48
Dallas,R,32.780573,-96.797,L,TRUE,48
Lubbock,R,33.577809,-101.855,S,TRUE,48
Oklahoma City,T,35.467,-97.55,S,FALSE,48
Santa Fe,L,35.678,-105.954,S,FALSE,48
Denver,B,39.7375,-104.984,S,FALSE,48
Provo,L,40.2444,-111.661,S,TRUE,49
Salt Lake City,L,40.777,-111.929,S,TRUE,49
St. George,T,37.0953,-113.578,S,TRUE,49
Las Vegas,T,36.1699,-115.1398,S,FALSE,49
Bennington,R,42.8911,-73.208,S,TRUE,50
Montpelier,B,44.26274,-72.572,S,TRUE,50
Burlington,R,44.47586,-73.211,S,TRUE,50
Rutland,T,43.6086,-72.972,S,TRUE,50
Manchester,T,42.9912,-71.464,S,FALSE,50
New York,L,40.77,-73.98,L,FALSE,50
Albany,L,42.665,-73.799,L,FALSE,50
Arlington,R,38.8803,-77.108,S,TRUE,51
Fairfax,L,38.8462236,-77.306,S,TRUE,51
Norfolk,T,36.854685,-76.274,S,TRUE,51
Richmond,L,37.5393,-77.442,S,TRUE,51
Roanoke,B,37.2709704,-79.941,S,TRUE,51
Virginia Beach,B,36.76,-76.03,S,TRUE,51
Baltimore,T,39.28606,-76.614,L,FALSE,51
Pittsburgh,T,40.4406,-79.9959,L,FALSE,51
Washington,T,38.9072,-77.0369,S,FALSE,51
Philadelphia,L,39.9526,-75.1652,L,FALSE,51
Raleigh,T,35.7796,-78.638,S,FALSE,51
Bellingham,R,48.8,-122.53,S,TRUE,53
Olympia,B,47.039,-122.897,S,TRUE,53
Seattle,L,47.61649,-122.347,S,TRUE,53
Spokane,L,47.63,-117.53,S,TRUE,53
Tacoma,R,47.27,-122.58,S,TRUE,53
Redmond,R,47.669414,-122.124,S,TRUE,53
Portland,B,45.5122,-122.6587,S,FALSE,53
Beckley,L,37.7797,-81.183,S,TRUE,54
Wheeling,L,40.07709,-80.693,S,TRUE,54
Charleston,R,38.3533,-81.636,S,TRUE,54
Huntington,T,38.4208,-82.424,S,TRUE,54
Youngstown,B,41.096258,-80.649,S,FALSE,54
Washington,B,38.890159,-77.035,L,FALSE,54
Pittsburgh,R,40.4423,-80.01,S,FALSE,54
Eau Claire,B,44.811023,-91.498,S,TRUE,55
Green Bay,L,44.517941,-88.015,S,TRUE,55
Madison,T,43.073045,-89.401,S,TRUE,55
Milwaukee,B,43.037992,-87.904,L,TRUE,55
Oshkosh,B,44.02472,-88.543,S,TRUE,55
Wausau,T,44.962589,-89.647,S,TRUE,55
La Crosse,L,43.8019,-91.242,S,TRUE,55
Minneapolis,L,44.97836,-93.267,S,FALSE,55
Chicago,L,41.9,-87.65,L,FALSE,55
Casper,T,42.8501,-106.3252,S,TRUE,56
Cheyenne,L,41.145,-104.792,S,TRUE,56
Gillette,L,44.2910915,-105.502,S,TRUE,56
Thermopolis,T,43.6460672,-108.212,S,TRUE,56
Jackson,R,43.4799291,-110.762,S,TRUE,56
